hour,dow,line,updnLine,congestion
8,TUE,4,1,54.166666666666664
9,TUE,4,1,39.333333333333336
10,TUE,4,1,24.833333333333332
11,TUE,4,1,26.333333333333332
12,TUE,4,1,29.0
13,TUE,4,1,32.333333333333336
14,TUE,4,1,30.333333333333332
15,TUE,4,1,40.666666666666664
16,TUE,4,1,44.5
17,TUE,4,1,53.833333333333336
18,TUE,4,1,62.5
19,TUE,4,1,28.666666666666668
20,TUE,4,1,23.833333333333332
21,TUE,4,1,23.833333333333332
22,TUE,4,1,29.833333333333332
23,TUE,4,1,15.666666666666666
5,WED,4,1,23.0
6,WED,4,1,25.333333333333332
7,WED,4,1,43.5
8,WED,4,1,54.0
9,WED,4,1,40.833333333333336
10,WED,4,1,25.333333333333332
11,WED,4,1,27.333333333333332
12,WED,4,1,28.833333333333332
13,WED,4,1,32.333333333333336
14,WED,4,1,30.833333333333332
15,WED,4,1,40.5
16,WED,4,1,47.166666666666664
17,WED,4,1,59.0
18,WED,4,1,63.166666666666664
19,WED,4,1,31.333333333333332
20,WED,4,1,23.5
21,WED,4,1,25.0
22,WED,4,1,34.333333333333336
23,WED,4,1,15.333333333333334
5,THU,4,1,23.0
6,THU,4,1,24.5
7,THU,4,1,41.833333333333336
8,THU,4,1,47.833333333333336
9,THU,4,1,35.5
10,THU,4,1,24.166666666666668
11,THU,4,1,25.166666666666668
12,THU,4,1,27.166666666666668
13,THU,4,1,31.5
14,THU,4,1,28.5
15,THU,4,1,35.833333333333336
16,THU,4,1,40.833333333333336
17,THU,4,1,52.833333333333336
18,THU,4,1,56.333333333333336
19,THU,4,1,27.833333333333332
20,THU,4,1,20.833333333333332
21,THU,4,1,23.333333333333332
22,THU,4,1,29.833333333333332
23,THU,4,1,17.166666666666668
5,FRI,4,1,24.333333333333332
6,FRI,4,1,25.833333333333332
7,FRI,4,1,41.833333333333336
8,FRI,4,1,50.5
9,FRI,4,1,38.333333333333336
10,FRI,4,1,24.5
11,FRI,4,1,28.166666666666668
12,FRI,4,1,33.666666666666664
13,FRI,4,1,39.833333333333336
14,FRI,4,1,35.0
15,FRI,4,1,39.5
16,FRI,4,1,50.5
17,FRI,4,1,63.5
18,FRI,4,1,64.33333333333333
19,FRI,4,1,32.0
20,FRI,4,1,23.666666666666668
21,FRI,4,1,25.166666666666668
22,FRI,4,1,36.833333333333336
23,FRI,4,1,20.833333333333332
5,SAT,4,1,19.666666666666668
6,SAT,4,1,17.666666666666668
7,SAT,4,1,17.5
8,SAT,4,1,26.0
9,SAT,4,1,34.0
10,SAT,4,1,34.333333333333336
11,SAT,4,1,36.666666666666664
12,SAT,4,1,33.0
13,SAT,4,1,33.833333333333336
14,SAT,4,1,35.333333333333336
15,SAT,4,1,40.0
16,SAT,4,1,43.5
17,SAT,4,1,48.666666666666664
18,SAT,4,1,42.5
19,SAT,4,1,30.833333333333332
20,SAT,4,1,28.0
21,SAT,4,1,37.0
22,SAT,4,1,29.666666666666668
23,SAT,4,1,36.666666666666664
5,SUN,4,1,10.0
6,SUN,4,1,10.5
7,SUN,4,1,11.333333333333334
8,SUN,4,1,16.333333333333332
9,SUN,4,1,25.833333333333332
10,SUN,4,1,26.5
11,SUN,4,1,28.0
12,SUN,4,1,23.5
13,SUN,4,1,26.5
14,SUN,4,1,26.333333333333332
15,SUN,4,1,29.5
16,SUN,4,1,29.666666666666668
17,SUN,4,1,32.833333333333336
18,SUN,4,1,31.0
19,SUN,4,1,27.333333333333332
20,SUN,4,1,26.833333333333332
21,SUN,4,1,24.166666666666668
22,SUN,4,1,19.333333333333332
23,SUN,4,1,21.0
