month,dow,hour,exit,승차인원,하차인원
09,SUN,8,14,24.540156092648534,60.120971802618314
09,SUN,8,15,12.942849949647522,31.70871097683784
09,SUN,8,2,2.947381671701902,7.220795568982853
09,SUN,8,3,3.3638595166163086,8.241125377643492
09,SUN,8,4,1.4096173212487308,3.4534239677743956
09,SUN,8,5,0.0,0.0
09,SUN,8,6,0.0,0.0
09,SUN,8,7,1.2173967774420829,2.9825025176233346
09,SUN,8,8,0.4485146022155036,1.0988167170191216
09,SUN,8,9,0.7048086606243592,1.7267119838871825
09,SUN,8,9-1,10.091578549848938,24.723376132930504
09,SUN,9,1,8.301745167948956,19.2306248827172
09,SUN,9,10,8.272096078063417,19.16194407956462
09,SUN,9,11,6.611747044473635,15.315819103021205
09,SUN,9,12,43.554513041846505,100.89209983111279
09,SUN,9,13,23.926815537624314,55.425408144117085
09,SUN,9,14,29.76768624507412,68.95552636517169
09,SUN,9,15,13.312441358603857,30.837680615500076
09,SUN,9,2,4.388065303058735,10.164758866579096
09,SUN,9,3,3.3206980671795794,7.692249953086874
09,SUN,9,4,0.7708763370238187,1.7857008819665676
09,SUN,9,5,0.4150872583974336,0.9615312441358272
09,SUN,9,6,0.0,0.0
09,SUN,9,7,2.1347344717582954,4.945017826984405
09,SUN,9,8,0.7115781572527546,1.6483392756614441
09,SUN,9,9,0.7115781572527546,1.6483392756614441
09,SUN,9,9-1,11.80033777444173,27.334959654719448
09,SUN,10,1,10.545145383438184,22.6029586804965
09,SUN,10,10,14.005271212378844,30.019554497534426
09,SUN,10,11,9.844881822819236,21.101980955619762
09,SUN,10,12,63.47683217139941,136.05921611970751
09,SUN,10,13,33.8186107804795,72.48839483081107
09,SUN,10,14,47.04123448393129,100.8303859887774
09,SUN,10,15,21.87293827580342,46.883480700561094
09,SUN,10,2,8.897466417275954,19.071246386668896
09,SUN,10,3,5.6433004591055855,12.096114606359446
09,SUN,10,4,2.3891345009351923,5.120982826049943
09,SUN,10,5,0.3295357932324311,0.7063424587654896
09,SUN,10,6,0.0,0.0
09,SUN,10,7,2.718670294167648,5.827325284815484
09,SUN,10,8,2.1007906818568243,4.502933174630158
09,SUN,10,9,1.5652950178541023,3.3551266791361924
09,SUN,10,9-1,18.0008927053222,38.58395681006626
09,SUN,11,1,20.763820161176277,40.09426693058103
09,SUN,11,10,21.421249823271587,41.36374240067862
09,SUN,11,11,16.21659833168383,31.313728262406265
09,SUN,11,12,100.75109571610348,194.54711579245014
09,SUN,11,13,46.78707761911494,90.34433762194259
09,SUN,11,14,74.12519440124413,143.13335925349918
09,SUN,11,15,39.93885197228897,77.12063480842639
09,SUN,11,2,13.148593241905822,25.38950940195105
09,SUN,11,3,5.916866958857619,11.42527923087797
09,SUN,11,4,3.6158631415241027,6.982115085536542
09,SUN,11,5,0.0,0.0
09,SUN,11,6,0.0,0.0
09,SUN,11,7,6.79343984165133,13.11791319100802
09,SUN,11,8,3.0680050897780085,5.924218860455213
09,SUN,11,9,2.520147038031915,4.866322635373885
09,SUN,11,9-1,32.43319666336771,62.62745652481261
09,SUN,12,1,16.18934485241178,32.815964722822116
09,SUN,12,10,29.131269498440112,59.049376049915985
09,SUN,12,11,15.807295416366665,32.041546676265845
09,SUN,12,12,114.99688024958002,233.09983201343888
09,SUN,12,13,39.54211663066954,80.15226781857449
09,SUN,12,14,83.28677705783535,168.82313414926801
09,SUN,12,15,34.90976721862248,70.7624490040796
09,SUN,12,2,11.031677465802732,22.361321094312448
09,SUN,12,3,7.736501079913587,15.68196544276454
09,SUN,12,4,2.0535157187424775,4.162497000239934
09,SUN,12,5,0.0,0.0
09,SUN,12,6,0.0,0.0
09,SUN,12,7,5.253179745620334,10.648248140148754
09,SUN,12,8,3.724982001439882,7.55057595392368
09,SUN,12,9,2.19678425725939,4.452903767698524
09,SUN,12,9-1,32.13990880729539,65.14791816654663
09,SUN,13,1,21.642081447963797,43.47378393665158
09,SUN,13,10,26.4837104072398,53.19946266968323
09,SUN,13,11,17.09095022624431,34.33164592760174
09,SUN,13,12,118.28099547511312,237.59833144796377
09,SUN,13,13,45.41447963800902,91.22686651583705
09,SUN,13,14,87.82714932126694,176.42381221719452
09,SUN,13,15,36.79638009049773,73.9151583710407
09,SUN,13,2,13.07239819004522,26.25933257918546
09,SUN,13,3,9.828506787330284,19.743127828054234
09,SUN,13,4,2.662895927601778,5.349123303167357
09,SUN,13,5,0.48416289592759604,0.9725678733031557
09,SUN,13,6,0.0,0.0
09,SUN,13,7,5.18054298642532,10.406476244343853
09,SUN,13,8,3.4375565610859318,6.9052319004524065
09,SUN,13,9,3.147058823529374,6.321691176470512
09,SUN,13,9-1,36.651131221719446,73.62338800904975
09,SUN,14,1,25.402691201150805,49.650143850395594
09,SUN,14,10,36.01240709661951,70.38707743946296
09,SUN,14,11,20.916297051066884,40.88138336130423
09,SUN,14,12,135.86499040997361,265.5512467034284
09,SUN,14,13,50.562874610405146,98.82630064732672
09,SUN,14,14,106.82468233037639,208.79129705106683
09,SUN,14,15,44.62143370894268,87.21361783744902
09,SUN,14,2,17.15742627667226,33.53458403260609
09,SUN,14,3,8.790907456245506,17.182030688084392
09,SUN,14,4,2.182570127067831,4.265883481179538
09,SUN,14,5,0.6062694797410362,1.1849676336609278
09,SUN,14,6,0.0,0.0
09,SUN,14,7,7.335860704866916,14.338108367297968
09,SUN,14,8,4.9107827859026205,9.598237832653961
09,SUN,14,9,3.940751618316912,7.702289618796376
09,SUN,14,9-1,40.62005514265165,79.39283145528651
09,SUN,15,1,19.340265742345466,48.010398613518205
09,SUN,15,10,27.48353552859617,68.22530329289424
09,SUN,15,11,18.32235701906413,45.48353552859619
09,SUN,15,12,129.5288850375505,321.5433275563258
09,SUN,15,13,53.0330444829578,131.64956672443668
09,SUN,15,14,86.5222414789139,214.78336221837083
09,SUN,15,15,39.03679953783937,96.90519930675903
09,SUN,15,2,13.843558636626222,34.36533795493932
09,SUN,15,3,8.957596764875765,22.236395147313615
09,SUN,15,4,2.646562680531461,6.569844020797168
09,SUN,15,5,0.30537261698437057,0.7580589254765249
09,SUN,15,6,0.0,0.0
09,SUN,15,7,4.682380127094137,11.623570190641178
09,SUN,15,8,2.544771808203323,6.317157712304957
09,SUN,15,9,2.544771808203323,6.317157712304957
09,SUN,15,9-1,31.70785673021373,78.71178509532058
09,SUN,16,1,17.308426073131933,43.70486032250732
09,SUN,16,10,24.603338632750386,62.1249716102657
09,SUN,16,11,18.758346581875983,47.366000454235724
09,SUN,16,12,115.1780604133545,290.83181921417207
09,SUN,16,13,41.18680445151033,103.99926186690891
09,SUN,16,14,82.55484896661363,208.4561662502838
09,SUN,16,15,35.976152623211405,90.84203951851
